Destination Prefix,A Party,B Party,Date,SessionTime,Termination Type
9230,19853180526,257000000000,07/29/2022 12:21,5,CLI
9230,19853180526,257000000000,07/29/2022 12:21,5,No-CLI
9230,7662007288,257000000000,07/29/2022 12:21,0,CLI
9230,4726458001,257000000000,07/29/2022 12:21,0,No-CLI
9230,6695871202,257000000000,07/29/2022 12:21,0,CLI
9230,7188712141,257000000000,07/29/2022 12:21,0,No-CLI
9230,2576739253,257000000000,07/29/2022 12:21,0,CLI
9230,3899970157,257000000000,07/29/2022 12:21,6,No-CLI
9230,9532703968,257000000000,07/29/2022 12:21,8,CLI
9230,6439290549,257000000000,07/29/2022 12:21,0,No-CLI
9230,6000436054,257000000000,07/29/2022 12:21,4,CLI
9230,5436249319,257000000000,07/29/2022 12:21,30,No-CLI
9230,3296787846,257000000000,07/29/2022 12:21,0,CLI
9230,2519113320,257000000000,07/29/2022 12:21,40,No-CLI
9230,6865190212,257000000000,07/29/2022 12:21,0,CLI
9230,3806412882,257000000000,07/29/2022 12:21,0,No-CLI
9230,6962108901,257000000000,07/29/2022 12:21,0,CLI
9230,4160773335,257000000000,07/29/2022 12:21,0,No-CLI
9230,9766185398,257000000000,07/29/2022 12:21,0,CLI
9230,5560525213,257000000000,07/29/2022 12:21,0,No-CLI
9230,9588830028,257000000000,07/29/2022 12:21,0,CLI
9230,2856325066,257000000000,07/29/2022 12:21,0,No-CLI
9230,6780068812,257000000000,07/29/2022 12:21,0,CLI
739022,34961993614,257000000000,07/29/2022 12:21,0,No-CLI
739022,34961993614,257000000000,07/29/2022 12:21,0,CLI
739022,34961993614,257000000000,07/29/2022 12:21,0,No-CLI
739022,34961993614,257000000000,07/29/2022 12:21,0,CLI
739022,34961993614,257000000000,07/29/2022 12:21,0,No-CLI
739022,27996654956,257000000000,07/29/2022 12:21,0,CLI
739022,68538040981,257000000000,07/29/2022 12:21,0,No-CLI
739022,68538676385,257000000000,07/29/2022 12:21,0,CLI
739022,1854735726,257000000000,07/29/2022 12:21,0,No-CLI
739022,8283625320,257000000000,07/29/2022 12:21,0,CLI
739022,7492314384,257000000000,07/29/2022 12:21,0,No-CLI
739022,8225113954,257000000000,07/29/2022 12:21,0,CLI
6222,2292110966,257000000000,07/29/2022 12:21,0,No-CLI
6222,1569693722,257000000000,07/29/2022 12:21,0,CLI
6222,3469180737,257000000000,07/29/2022 12:21,0,No-CLI
6222,575428998,257000000000,07/29/2022 12:21,0,CLI
6222,3965731338,257000000000,07/29/2022 12:21,0,No-CLI
6222,6645013245,257000000000,07/29/2022 12:21,0,CLI
6222,6833741388,257000000000,07/29/2022 12:21,0,No-CLI
6222,4533908319,257000000000,07/29/2022 12:21,0,CLI
6222,14846528787,257000000000,07/29/2022 12:21,0,No-CLI
6222,14846528787,257000000000,07/29/2022 12:21,0,CLI
6222,14846528787,257000000000,07/29/2022 12:21,0,No-CLI
6222,46702892325,257000000000,07/29/2022 12:21,0,CLI
6222,46702892325,257000000000,07/29/2022 12:21,0,No-CLI
6222,46702892325,257000000000,07/29/2022 12:21,0,CLI
6222,46702892325,257000000000,07/29/2022 12:21,0,No-CLI
6222,46702892325,257000000000,07/29/2022 12:21,0,CLI
6222,46702892325,257000000000,07/29/2022 12:21,0,No-CLI
6222,46702892325,257000000000,07/29/2022 12:21,0,CLI
6222,1539929326,257000000000,07/29/2022 12:21,0,No-CLI
6222,5721216399,257000000000,07/29/2022 12:21,0,CLI
6222,815000000000,257000000000,07/29/2022 12:21,0,No-CLI
6222,815000000000,257000000000,07/29/2022 12:21,0,CLI
9179,818000000000,257000000000,07/29/2022 12:21,0,No-CLI
9179,17817711556,257000000000,07/29/2022 12:21,0,CLI
9179,8620000000000,257000000000,07/29/2022 12:21,0,No-CLI
9179,996000000000,257000000000,07/29/2022 12:21,0,CLI
9179,18575055538,257000000000,07/29/2022 12:21,0,No-CLI
9179,18575055538,257000000000,07/29/2022 12:21,0,CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,No-CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,No-CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,No-CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,No-CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,No-CLI
9179,1702328069,257000000000,07/29/2022 12:21,0,CLI
9179,9672893865,257000000000,07/29/2022 12:21,0,No-CLI
9179,4867822699,257000000000,07/29/2022 12:21,0,CLI
9179,600974184,257000000000,07/29/2022 12:21,0,No-CLI
9179,6903593626,257000000000,07/29/2022 12:21,0,CLI
9179,8852492362,257000000000,07/29/2022 12:21,0,No-CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,CLI
9179,8733925221,257000000000,07/29/2022 12:21,0,No-CLI
9179,nonymous,257000000000,07/29/2022 12:21,0,CLI
355424939,nonymous,257000000000,07/29/2022 12:21,0,No-CLI
355424939,nonymous,257000000000,07/29/2022 12:21,0,CLI
355424939,nonymous,257000000000,07/29/2022 12:21,0,No-CLI
355424939,4021268588,257000000000,07/29/2022 12:21,0,CLI
355424939,7331199857,257000000000,07/29/2022 12:21,0,No-CLI
355424939,2383448050,257000000000,07/29/2022 12:21,0,CLI
355424939,6451827585,257000000000,07/29/2022 12:21,0,No-CLI
355424939,1678846041,257000000000,07/29/2022 12:21,0,CLI
355424939,3169088321,257000000000,07/29/2022 12:21,0,No-CLI
355424939,4764034673,257000000000,07/29/2022 12:21,0,CLI
355424939,4695442055,257000000000,07/29/2022 12:21,0,No-CLI
355424939,1219911199,257000000000,07/29/2022 12:21,0,CLI
355424939,3223677860,257000000000,07/29/2022 12:21,0,No-CLI
355424939,9728243274,257000000000,07/29/2022 12:21,0,CLI
355424939,8078194168,257000000000,07/29/2022 12:21,0,No-CLI
355424939,1179651859,257000000000,07/29/2022 12:21,0,CLI
355424939,46702222840,257000000000,07/29/2022 12:21,0,No-CLI
355424939,46702222840,257000000000,07/29/2022 12:21,0,CLI
355424939,46700985251,257000000000,07/29/2022 12:21,0,No-CLI
355424939,46700985251,257000000000,07/29/2022 12:21,0,CLI
355424939,4739150484,257000000000,07/29/2022 12:21,0,No-CLI
355424939,46700985251,257000000000,07/29/2022 12:21,0,CLI
355424939,46700985251,257000000000,07/29/2022 12:21,0,No-CLI
355424939,9461438383,257000000000,07/29/2022 12:21,0,CLI
355424939,9985155266,257000000000,07/29/2022 12:21,0,No-CLI
355424939,8881795948,257000000000,07/29/2022 12:21,0,CLI
355424939,4220539176,257000000000,07/29/2022 12:21,0,No-CLI
355424939,257000000000,257000000000,07/29/2022 12:21,0,CLI
355424939,257000000000,257000000000,07/29/2022 12:21,0,No-CLI
355424939,4763435203,257000000000,07/29/2022 12:21,0,CLI
355424939,1219331517,257000000000,07/29/2022 12:21,0,No-CLI
355424939,1069735024,257000000000,07/29/2022 12:21,0,CLI
355424939,4494415635,257000000000,07/29/2022 12:21,0,No-CLI
355424939,1731055346,257000000000,07/29/2022 12:21,0,CLI
355424939,1170673670,257000000000,07/29/2022 12:21,0,No-CLI
355424939,5775306850,257000000000,07/29/2022 12:21,0,CLI
355424939,1928647347,257000000000,07/29/2022 12:21,0,No-CLI
355424939,5161090367,257000000000,07/29/2022 12:21,0,CLI
355424939,5693943356,257000000000,07/29/2022 12:21,0,No-CLI
355424939,8773458679,257000000000,07/29/2022 12:21,0,CLI
